
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> #tm_ruble							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> MoneyRuble1, 	1					// Currency Classname, Currency Money Value
	<Currency> MoneyRuble5, 	5
	<Currency> MoneyRuble10, 	10
	<Currency> MoneyRuble25, 	25
	<Currency> MoneyRuble50, 	50
	<Currency> MoneyRuble100, 	100


<Trader> Consume Trader																							// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Meat & Veg																						// Category Name
		CaninaBerry,																	*,		10,			8	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,																	*,		10,			8	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Ammo_408Chey,																	*,		1000,		500
		Ammo_338,																		*,		1000,		500
		Ammo_12GaBB,																	*,		1000,		500
		TWP_AmmoBox_300WinMag_20Rnd,													*,		1000,		500
		TWP_AmmoBox_20x76_10rnd,														*,		2000,		500
		TWP_AmmoBox_50BMG_10rnd,														*,		2000,		500
		TWP_AmmoBox_3006_20Rnd,															*,		2000,		500
		TWP_AmmoBox_44mag_30Rnd,														*,		3000,		500
		TWP_AmmoBox_50AE_20Rnd,															*,		2000,		500
		TWP_AmmoBox_40SW_30Rnd,															*,		3000,		500
		TWP_AmmoBox_46x30_30Rnd,														*,		3000,		500
		TWP_AmmoBox_57x28_30Rnd,														*,		3000,		500
		TWP_AmmoBox_762x25_30Rnd,														*,		3000,		500
		TWP_Ammobox_408Cheytac_10Rnd,													*,		3000,		500
		TWP_Ammobox_6x35_20Rnd,															*,		300,		50
		TWP_Ammo_20x76,																	1,		200,		50
		TWP_Ammo_50BMG,																	1,		200,		50
		TWP_Ammo_3006,																	1,		100,		50
		TWP_Ammo_44mag,																	1,		100,		50
		TWP_Ammo_50AE,																	1,		100,		50
		TWP_Ammo_40SW,																	1,		100,		50
		TWP_Ammo_46x30,																	1,		100,		50
		TWP_Ammo_57x28,																	1,		100,		50
		TWP_Ammo_Arrow,																	1,		100,		50
		TWP_Ammo_408Cheytac,															1,		100,		50
		TWP_Ammo_762x25,																1,		100,		50
		TWP_Ammo_6x35,																	1,		100,		50		
		
	<Category> Magazines

		Mag_STANAG_30Rnd,																M,		220,		110
		Mag_STANAGCoupled_30Rnd,														M,		480,		220
		Mag_CMAG_10Rnd,																	M,		120,		60
		Mag_CMAG_20Rnd,																	M,		180,		80
		Mag_CMAG_30Rnd,																	M,		220,		110
		Mag_CMAG_40Rnd,																	M,		300,		150
		Mag_TTCM1_15Rnd, 																M, 		500,		250
		TTC_308Stanag, 																	M, 		200,		100
		TTC_300Stanag, 																	M, 		200,		100
		TTC_300Cmag, 																	M, 		200,		100
		TTC_338mag_10rnd, 																M, 		200,		100
		TTC_M24mag_5rnd, 																M, 		200,		100
		TTC_M82_5rnd_Mag, 																M,		600,		100
		Mass308STANAG,																	*,		1000,		500	
		Mass762Stanag,																	*,		1000,		500	
		Massppshdrum,																	*,		1000,		500	
		Massppshbox,																	*,		1000,		500	
		MassSVTmag,																		*,		1000,		500	
		Massm300mag																		*,		1000,		500
	
	<Category> Handguards
		MP5_PlasticHndgrd,																*,		100,		50
		MP5_RailHndgrd,																	*,		150,		75
		AK74_Hndgrd,																	*,		150,		75
		AK_WoodHndgrd,																	*,		200,		100
		AK_RailHndgrd,																	*,		200,		100
		AK_PlasticHndgrd,																*,		200,		100
		M4_PlasticHndgrd,																*,		150,		75
		M4_RISHndgrd,																	*,		200,		100
		M4_MPHndgrd,																	*,		200,		100
		TTC_DMR_Hndguard, 																*,		250,		125
		TTC_DMR_HndguardOD, 															*,		250,		125
		TTC_DMR_HndguardDesert, 														*,		250,		125

	<Category> Buttstocks
		MP5k_StockBttstck,																*,		100,		50
		Fal_OeBttstck,																	*,		100,		50
		Fal_FoldingBttstck,																*,		150,		75
		Saiga_Bttstck,																	*,		150,		75
		AKS74U_Bttstck,																	*,		150,		75
		AK74_WoodBttstck,																*,		150,		75
		AK_PlasticBttstck,																*,		100,		50
		AK_WoodBttstck,																	*,		150,		75
		AK_FoldingBttstck,																*,		250,		125
		M4_OEBttstck,																	*,		150,		75
		M4_CQBBttstck,																	*,		150,		75
		M4_MPBttstck,																	*,		150,		75
		TTC_Buttstock, 																	*,		300, 		150
		TTC_Buttstock2, 																*,		300, 		150
		TTC_Buttstock3, 																*,		300, 		150
		TTC_M1StockPouch, 																*,		500, 		250
//		TTC_Buttstock_Honey, 															*,		300, 		200
		TTC_Buttstock_Camo, 															*,		300, 		200
		TTC_Buttstock_Digitan, 															*,		300, 		200
		TTC_Buttstock_Tan, 																*,		300, 		200
		TTC_Buttstock_UPC, 																*,		300, 		200
		zenitco_pt3_buttstock,															*,		200,		100
//		mcmillan_buttstock,																*,		100,		50
		TTC_DMR_AFG, 																	*, 		500, 		200
		TTC_DMR_AFG_Green, 																*, 		500, 		200
		TTC_DMR_AFG_Tan, 																*, 		500, 		200
		TTC_DMR_VFG, 																	*, 		500, 		200
		TTC_DMR_VFG_Green, 																*, 		500, 		200
		TTC_DMR_VFG_Tan, 																*, 		500, 		200
		TTC_DMR_Bipod, 																	*, 		500, 		200	
	
	<Category> Optics
		M4_CarryHandleOptic,															*,		150,		60
		BUISOptic,																		*,		150,		60
		FNP45_MRDSOptic,																*,		250,		100
		ACOGOptic,																		*,		300,		120
		M68Optic,																		*,		500,		200
		M4_T3NRDSOptic,																	*,		500,		200
		KobraOptic,																		*,		600,		250
		KashtanOptic,																	*,		700,		300
		PUScopeOptic,																	*,		900,		500
		HuntingOptic,																	*,		1000,		550
		PSO1Optic,																		*,		1100,		600	
		PSO11Optic,																		*,		1400,		840
		KazuarOptic,																	*,		2200,		1400
		TWP_MosinScope,																	*,		5000,		2000
		TWP_M16A3_handle,																*,		2000,		1000
		TWP_M16A4_handle,																*,		2000,		1000
		TWP_Optic_Vlife,																*,		2000,		1000
		TWP_Optic_NCSTAR,																*,		2000,		1000
		TWP_Optic_Steyr,																*,		2000,		1000
		TWP_Optic_Camouflage,															*,		2000,		1000
		TWP_Optic_Snowy,																*,		2000,		1000
		TWP_Optic_FG42,																	*,		2000,		1000
		TWP_TrijiconACOG,																*,		2000,		1000
		TWP_Optic_reddot,																*,		2000,		1000
		TWP_Optic_Acog,																	*,		2000,		1000
		TWP_LongRangeOptic_Tan,															*,		2000,		1000
		TWP_LongRangeOptic_Green,														*,		2000,		1000
		TWP_LongRangeOptic_Black,														*,		2000,		1000
		TWP_Optic_BlackDragon,															*,		2000,		1000
		
	<Category> Supressors	
		PistolSuppressor,																*,		150,		75
		AK_Suppressor,																	*,		250,		125
		M4_Suppressor,																	*,		250,		125
		TTC_Universal_Suppressor_BLACK, 												*, 		500, 		200
		TTC_Universal_Suppressor_CAMO, 													*, 		500, 		200
//		TTC_Honey_Suppressor, 															*, 		500, 		200
		TTC_Universal_Suppressor_Tan, 													*, 		500, 		200
		TTC_Universal_Suppressor_Snow, 													*, 		500, 		200
		TTC_DMR_Suppressor, 															*, 		500, 		200
		MassScoutSuppressor,															*,		1000,		750	
		shotgun_Suppressor,																*,		1000,		750	
		MassSuppressor308,																*,		1000,		750
		TWP_G3A3_Suppressor,															*,		1500,		750
		TWP_LR300_Suppressor,															*,		1500,		750
		TWP_Carabine_Suppressor,														*,		1500,		750
		TWP_USPPsychodelic_Supressor,													*,		1000,		750
		TWP_USPChromatic_Supressor,														*,		1000,		750
		TWP_M200Old_Suppressor,															*,		1000,		750
		TWP_BarrettM82_Suppressor,														*,		1000,		750
		TWP_Ash12_Suppressor,															*,		1000,		750
		TWP_AKSuppressor,																*,		1000,		750
		TWP_M4Suppressor,																*,		1000,		750	

	<Category> Compensators	
		Mosin_Compensator,																*,		150,		75
		MP5_Compensator,																*,		200,		100


	<Category> Flashlights															
		Universallight,																	*,		120,		60
		TWP_MK23Light,																	*,		500,		245
		TWP_GlockLight,																	*,		500,		250
		TWP_PistolLight,																*,		3000,		2000
		TWP_Weaponlight,																*,		5000,		3500
		Universallight,																	*,		120,		60

<Trader> Weapon Supplies
	<Category> Flashlights															
		Universallight,																	*,		120,		60

<Trader> Clothing Trader															
	<Category> Glasses															
		SportGlasses_Orange,															*,		17,			8
		SportGlasses_Blue,																*,		18,			9
		SportGlasses_Black,																*,		20,			10
		SportGlasses_Green,																*,		20,			10
		ThinFramesGlasses,																*,		20,			10
		ThickFramesGlasses,																*,		23,			11
		DesignerGlasses,																*,		30,			15
		AviatorGlasses,																	*,		40,			20
		TacticalGoggles,																*,		60,			30
		NVGHeadstrap,																	*,		200,		120

	<Category> Armbands															
		Armband_Pink,																	*,		15,			5
		Armband_Yellow,																	*,		15,			5
		Armband_Orange,																	*,		15,			5
		Armband_Red,																	*,		15,			5
		Armband_Blue,																	*,		15,			5
		Armband_White,																	*,		15,			5
		Armband_Black,																	*,		15,			5
		Armband_Green,																	*,		15,			5
		MassArmband_TU,																	*,		15,			5	
		MassArmband_NCR,																*,		15,			5	
		MassArmband_snowBDU,															*,		15,			5	
		MassArmband_PartizanM,															*,		15,			5	
		MassArmband_Mandrake,															*,		15,			5	
		MassArmband_Woodland,															*,		15,			5	
		MassArmband_Urban,																*,		15,			5	
		MassArmband_Orel,																*,		15,			5	
		MassArmband_BWS,																*,		15,			5	
		MassArmband_BT,																	*,		15,			5
		
	<Category> Gloves
		SurgicalGloves_LightBlue,														*,		5,			1
		SurgicalGloves_Blue,															*,		5,			1
		SurgicalGloves_White,															*,		5,			1
		SurgicalGloves_Green,															*,		5,			1
		WorkingGloves_Yellow,															*,		25,			6
		WorkingGloves_Beige,															*,		30,			8
		WorkingGloves_Brown,															*,		30,			8
		WorkingGloves_Black,															*,		30,			8
		TacticalGloves_Beige,															*,		35,			10
		TacticalGloves_Black,															*,		35,			10
		TacticalGloves_Green,															*,		35,			10
		OMNOGloves_Gray,																*,		40,			12
		OMNOGloves_Brown,																*,		40,			12
		NBCGlovesGray,																	*,		65,			20

	<Category> Hats & Caps
		MedicalScrubsHat_Blue,															*,		2,			1
		MedicalScrubsHat_White,															*,		2,			1
		MedicalScrubsHat_Green,															*,		2,			1
		Bandana_Polkapattern,															*,		6,			2
		Bandana_Redpattern,																*,		6,			2
		Bandana_Blackpattern,															*,		6,			2
		Bandana_Greenpattern,															*,		8,			2
		Bandana_Camopattern,															*,		10,			3
		BaseballCap_CMMG_Pink,															*,		12,			3
		BaseballCap_Pink,																*,		12,			3
		BaseballCap_Red,																*,		12,			3
		BaseballCap_Blue,																*,		12,			3
		BaseballCap_Beige,																*,		12,			3
		BaseballCap_CMMG_Black,															*,		12,			3
		BaseballCap_Black,																*,		13,			3
		BaseballCap_Olive,																*,		14,			4
		BaseballCap_Camo,																*,		16,			5
		PrisonerCap,																	*,		16,			5
		BoonieHat_Orange,																*,		16,			5
		BoonieHat_Red,																	*,		16,			5
		BoonieHat_Blue,																	*,		16,			5
		BoonieHat_NavyBlue,																*,		16,			5
		BoonieHat_Black,																*,		17,			5
		BoonieHat_Tan,																	*,		18,			6
		BoonieHat_Olive,																*,		18,			6
		BoonieHat_DPM,																	*,		20,			7
		BoonieHat_Dubok,																*,		20,			7
		BoonieHat_Flecktran,															*,		20,			7
		CowboyHat_Brown,																*,		20,			7
		CowboyHat_darkBrown,															*,		20,			7
		CowboyHat_black,																*,		20,			7
		CowboyHat_green,																*,		20,			7
		PilotkaCap,																		*,		25,			7
		OfficerHat,																		*,		25,			7
		PoliceCap,																		*,		25,			7
		MilitaryBeret_ChDKZ,															*,		26,			7
		MilitaryBeret_Red,																*,		26,			7
		MilitaryBeret_UN,																*,		26,			7
		MilitaryBeret_CDF,																*,		27,			7
		MilitaryBeret_NZ,																*,		27,			7
		BeanieHat_Pink,																	*,		30,			8
		BeanieHat_Red,																	*,		30,			8
		BeanieHat_Blue,																	*,		30,			8
		BeanieHat_Grey,																	*,		30,			8
		BeanieHat_Beige,																*,		30,			8
		BeanieHat_Brown,																*,		30,			8
		BeanieHat_Black,																*,		31,			8
		BeanieHat_Green,																*,		32,			9
		FlatCap_Red,																	*,		32,			8
		FlatCap_Blue,																	*,		32,			8
		FlatCap_BrownCheck,																*,		32,			8
		FlatCap_GreyCheck,																*,		32,			8
		FlatCap_Grey,																	*,		32,			8
		FlatCap_Brown,																	*,		32,			8
		FlatCap_Black,																	*,		32,			8
		FlatCap_BlackCheck,																*,		32,			8
		ZmijovkaCap_Red,																*,		36,			9
		ZmijovkaCap_Blue,																*,		36,			9
		ZmijovkaCap_Brown,																*,		36,			9
		ZmijovkaCap_Black,																*,		37,			9
		ZmijovkaCap_Green,																*,		38,			10
		RadarCap_Red,																	*,		40,			10
		RadarCap_Blue,																	*,		40,			10
		RadarCap_Brown,																	*,		40,			10
		RadarCap_Black,																	*,		42,			10
		RadarCap_Green,																	*,		45,			12
		Ushanka_Blue,																	*,		50,			15
		Ushanka_Black,																	*,		50,			15
		Ushanka_Green,																	*,		55,			18
		NBCHoodGray,																	*,		100,		30		
	    MVS_Cap_OD,                                                               		*,      100,    	50
	    MVS_Cap_Tan,                                                               		*,      100,    	50
	    MVS_Cap_Black,                                                              	*,      100,    	50
	    MVS_Cap_Snow,                                                              		*,      100,    	50
	    MVS_Cap_ERDL,                                                              		*,      100,    	50
	    MVS_Cap_Multicam,                                                             	*,      100,    	50		
	    MVS_Cap_Multicam_Tropic,                                                      	*,      100,    	50		
	    MVS_Cap_Multicam_Black,                                                       	*,      100,    	50
	    MVS_FlatCap,                                                               		*,      100,    	50
	    MVS_FlatCap_Snow,                                                             	*,      100,    	50
	    MVS_FlatCap_Multicam,                                                           *,      100,    	50		
	    MVS_FlatCap_Multicam_Tropic,                                                    *,      100,    	50		
	    MVS_FlatCap_Multicam_Black,                                                     *,      100,    	50		
	    MVS_BoonieHat,                                                                  *,      100,    	50
	    MVS_BoonieHat_Snow,                                                             *,      100,    	50
	    MVS_BoonieHat_Multicam,                                                         *,      100,    	50
	    MVS_BoonieHat_Multicam_Tropic,                                                  *,      100,    	50
	    MVS_BoonieHat_Multicam_Black,                                                   *,      100,    	50

	<Category> Helmets
		ConstructionHelmet_Yellow,														*,		30,			7
		ConstructionHelmet_Orange,														*,		0,			7
		ConstructionHelmet_Red,															*,		30,			7
		ConstructionHelmet_Blue,														*,		30,			7
		ConstructionHelmet_White,														*,		30,			7
		ConstructionHelmet_Lime,														*,		33,			8
		SkateHelmet_Red,																*,		45,			12
		SkateHelmet_Blue,																*,		45,			12
		SkateHelmet_Gray,																*,		45,			12
		SkateHelmet_Black,																*,		47,			12
		SkateHelmet_Green,																*,		50,			13
		HockeyHelmet_Red,																*,		50,			13
		HockeyHelmet_Blue,																*,		50,			13
		HockeyHelmet_White,																*,		50,			13
		HockeyHelmet_Black,																*,		55,			14
		DirtBikeHelmet_Mouthguard,														*,		15,			4
		DirtBikeHelmet_Visor,															*,		25,			8
		DirtBikeHelmet_Red,																*,		60,			15
		DirtBikeHelmet_Blue,															*,		60,			15
		DirtBikeHelmet_Police,															*,		60,			15
		DirtBikeHelmet_Green,															*,		60,			15
		DirtBikeHelmet_Chernarus,														*,		60,			15
		DirtBikeHelmet_Black,															*,		65,			16
		DirtBikeHelmet_Khaki,															*,		70,			18
		MotoHelmet_Red,																	*,		70,			18
		MotoHelmet_Blue,																*,		70,			18
		MotoHelmet_White,																*,		70,			18
		MotoHelmet_Lime,																*,		70,			18
		MotoHelmet_Grey,																*,		75,			18
		MotoHelmet_Black,																*,		75,			20
		MotoHelmet_Green,																*,		80,			22
		DarkMotoHelmet_Red,																*,		80,			22
		DarkMotoHelmet_Blue,															*,		80,			22
		DarkMotoHelmet_White,															*,		80,			22
		DarkMotoHelmet_Lime,															*,		80,			22
		DarkMotoHelmet_Grey,															*,		80,			22
		DarkMotoHelmet_Black,															*,		85,			23
		DarkMotoHelmet_Green,															*,		90,			25
		TankerHelmet,																	*,		100,		25
		GreatHelm,																		*,		120,		30
		ZSh3PilotHelmet,																*,		130,		35
		FirefightersHelmet_Yellow,														*,		150,		40
		FirefightersHelmet_Red,															*,		150,		40
		FirefightersHelmet_White,														*,		150,		40
		Mich2001Helmet,																	*,		150,		40
		GorkaHelmetVisor,																*,		50,			20
		GorkaHelmet,																	*,		190,		50
		Ssh68Helmet,																	*,		250,		80
		BallisticHelmet_UN,																*,		1250,		1000
		BallisticHelmet_Black,															*,		1300,		1000
		BallisticHelmet_Green,															*,		1350,		1100
	    MVS_Helmet_01_Tan,                                                              *,      1500,   		1250
	    MVS_Helmet_01_Tan_Worn,                                                         *,      1500,   		1250
	    MVS_Helmet_01_OD,                                                               *,      1500,   		1250
	    MVS_Helmet_01_Black,                                                            *,      1500,   		1250
	    MVS_Helmet_01_Snow,                                                             *,      1500,   		1250
	    MVS_Helmet_01_ERDL,                                                             *,      1500,   		1250
	    MVS_Helmet_01_Multicam,                                                         *,      1500,   		1250
	    MVS_Helmet_01_Multicam_Tropic,                                                  *,      1500,   		1250		
	    MVS_Helmet_01_Multicam_Black,                                                   *,      1500,   		1250		
		MVS_Helmet_02_Tan,                                                              *,      1500,   		1250
	    MVS_Helmet_02_OD,                                                               *,      1500,   		1250
	    MVS_Helmet_02_Black,                                                            *,      1500,   		1250
	    MVS_Helmet_02_Snow,                                                             *,      1500,   		1250
	    MVS_Helmet_02_ERDL,                                                             *,      1500,   		1250
	    MVS_Helmet_02_Multicam,                                                         *,      1500,   		1250
	    MVS_Helmet_02_Multicam_Tropic,                                                  *,      1500,   		1250		
	    MVS_Helmet_02_Multicam_Black,                                                   *,      1500,   		1250		
	    MVS_OpsCore_Tan,                                                                *,      1500,   		1250
	    MVS_OpsCore_OD,                                                                 *,      1500,   		1250
	    MVS_OpsCore_Black,                                                              *,      1500,   		1250
	    MVS_OpsCore_Snow,                                                               *,      1500,   		1250
	    MVS_OpsCore_ERDL,                                                             	*,      1500,   		1250		
	    MVS_OpsCore_Multicam,                                                          	*,      1500,   		1250
	    MVS_OpsCore_Multicam_Tropic,                                                    *,      1500,   		1250		
	    MVS_OpsCore_Multicam_Black,                                                     *,      1500,   		1250
	    MVS_ArmoredHelmet_Tan,                                                         	*,      1500,   		1250
	    MVS_ArmoredHelmet_OD,                                                           *,      1500,   		1250
	    MVS_ArmoredHelmet_Black,                                                        *,      1500,   		1250
	    MVS_ArmoredHelmet_Snow,                                                         *,      1500,   		1250
	    MVS_ArmoredHelmet_ERDL,                                                         *,      1500,   		1250
	    MVS_ArmoredHelmet_Multicam,                                                     *,      1500,   		1250
	    MVS_ArmoredHelmet_Multicam_Tropic,                                              *,      1500,   		1250
	    MVS_ArmoredHelmet_Multicam_Black,                                               *,      1500,   		1250
	    MVS_Altyn_OD,                                                           		*,      1500,   		1250
	    MVS_Altyn_Tan,                                                              	*,      1500,   		1250
	    MVS_Altyn_Black,                                                           		*,      1500,   		1250
	    MVS_6B47_Helmet_OD,                                                          	*,      1000,   		500
	    MVS_6B47_Helmet_Tan,                                                            *,      1000,   		500
	    MVS_6B47_Helmet_Black,                                                          *,      1000,   		500
	    MVS_Altyn_Visor_OD,                                                          	*,      1000,   		500
	    MVS_Altyn_Visor_Tan,                                                            *,      1000,   		500
	    MVS_Altyn_Visor_Black,                                                          *,      1000,   		500
	    MVS_WarriorHelmet_Tan,                                                          *,      15000,  		12500
	    MVS_WarriorHelmet_OD,                                                         	*,      15000,  		12500
	    MVS_WarriorHelmet_Black,                                                        *,      15000,  		12500
	    MVS_WarriorHelmet_Snow,                                                         *,      15000,  		12500
	    MVS_WarriorHelmet_ERDL,                                                         *,      15000,  		12500
	    MVS_WarriorHelmet_Multicam,                                                     *,      15000,  		12500		
	    MVS_WarriorHelmet_Multicam_Tropic,                                              *,      15000,  		12500		
	    MVS_WarriorHelmet_Multicam_Black,                                               *,      15000,  		12500		

	<Category> NBC & Masks
		SurgicalMask,																	*,		15,			3
		BandanaMask_PolkaPattern,														*,		25,			6
		BandanaMask_RedPattern,															*,		25,			6
		BandanaMask_BlackPattern,														*,		25,			6
		BandanaMask_GreenPattern,														*,		30,			8
		BandanaMask_CamoPattern,														*,		35,			10
		NioshFaceMask,																	*,		40,			10
		HockeyMask,																		*,		40,			10
		HoxtonMask,																		*,		40,			10
		WolfMask,																		*,		40,			10
		DallasMask,																		*,		40,			10
		Balaclava3Holes_Blue,															*,		50,			12
		Balaclava3Holes_Beige,															*,		50,			12
		Balaclava3Holes_Black,															*,		55,			13
		Balaclava3Holes_Green,															*,		60,			15
		WeldingMask,																	*,		70,			20
		GP5GasMask,																		*,		120,		40
		stalker_gasmask_white_mung,         											*,      500,    	250
		stalker_gasmask_black_mung,         											*,      500,    	250
	    MVS_Facemask_Snow,                                                             	*,      10000,   	7500
      	MVS_S10Respirator_OD,                                                           *,      10000,   	7500     
      	MVS_S10Respirator_Tan,                                                          *,      10000,   	7500	
      	MVS_S10Respirator_Black,                                                        *,      10000,   	7500
      	MVS_S10Respirator_FS,                                                           *,      10000,   	7500
      	MVS_S10Respirator_Snow,                                                         *,      10000,   	7500
      	MVS_M50Respirator_OD,                                                           *,      10000,   	7500     
      	MVS_M50Respirator_Tan,                                                          *,      10000,   	7500	
      	MVS_M50Respirator_Black,                                                        *,      10000,   	7500
      	MVS_M50Respirator_Snow,                                                         *,      10000,   	7500
      	MVS_PMK2Respirator_Black,                                                       *,      10000,   	7500
      	MVS_PMK2Respirator_Tan,                                                         *,      10000,   	7500
      	MVS_PMK2Respirator_OD,                                                          *,      10000,   	7500
      	MVS_PMK2Respirator_Snow,  														*,		10000,   	7500
		ToxicZoneGP5GasMask_black,														*,		3000,		2000	
		ToxicZoneGP5GasMask_green,														*,		3000,		2000
		ToxicZoneSuits_Hood_black,														*,		2000,		2000
		ToxicZoneSuits_Hood_green,														*,		2000,		2000	
		ToxicZoneSuits_Hood_yellow,														*,		2000,		2000
		ToxicZoneSuits_Gloves_black,													*,		2000,		2000
		ToxicZoneSuits_Gloves_green,													*,		2000,		2000	
		ToxicZoneSuits_Gloves_yellow,   												*,		2000,		2000	
		ToxicZoneSuits_Jacket_yellow,   												*,		3000,		2000
		ToxicZoneSuits_Jacket_green,   													*,		3000,		2000	
		ToxicZoneSuits_Jacket_black,													*,		3000,		2000	
		ToxicZoneSuits_Pants_yellow,													*,		3000,		2000
		ToxicZoneSuits_Pants_green,														*,		3000,		2000	
		ToxicZoneSuits_Pants_black,														*,		3000,		2000	
		ToxicZoneSuits_Boots_yellow,													*,		2000,		2000
		ToxicZoneSuits_Boots_green,														*,		2000,		2000
		ToxicZoneSuits_Boots_black,														*,		2000,		2000
		GP5GasMask_Filter,																*,		2000,       1500	
//	    clownmask_mung,			             											*,		5000,		4500	


	<Category> Shirts
		TShirt_OrangeWhiteStripes,														*,		8,			2
		TShirt_RedBlackStripes,															*,		8,			2
		TShirt_Red,																		*,		8,			2
		TShirt_Blue,																	*,		8,			2
		TShirt_White,																	*,		10,			2
		TShirt_Grey,																	*,		10,			2
		TShirt_Beige,																	*,		10,			2
		TShirt_Black,																	*,		12,			3
		TShirt_Green,																	*,		12,			3
		TelnyashkaShirt,																*,		14,			3
		Shirt_RedCheck,																	*,		16,			4
		Shirt_BlueCheckBright,															*,		16,			4	
		Shirt_BlueCheck,																*,		16,			4
		Shirt_WhiteCheck,																*,		16,			4
		Shirt_PlaneBlack,																*,		17,			4
		Shirt_GreenCheck,																*,		18,			4
		Blouse_Violet,																	*,		16,			4
		Blouse_Blue,																	*,		16,			4
		Blouse_White,																	*,		16,			4
		Blouse_Green,																	*,		18,			4
		MedicalScrubsShirt_Blue,														*,		20,			5
		MedicalScrubsShirt_White,														*,		20,			5
		MedicalScrubsShirt_Green,														*,		20,			5
		ChernarusSportShirt,															*,		25,			6
		TacticalShirt_Grey,																*,		36,			10
		TacticalShirt_Tan,																*,		37,			10
		TacticalShirt_Black,															*,		38,			10
		TacticalShirt_Olive,															*,		40,			12	
	    MVS_Shirt_BDU,                                                             		*,      100,   		50
	    MVS_Shirt_BDU_Snow,                                                           	*,      100,   		50		
	    MVS_Shirt_BDU_Multicam,                                                         *,      100,   		50
	    MVS_Shirt_BDU_Multicam_Tropic,                                                  *,      100,   		50		
	    MVS_Shirt_BDU_Multicam_Black,                                                   *,      100,   		50
	    MVS_CombatShirt_OD,                                                           	*,      100,   		50
	    MVS_CombatShirt_Tan,                                                           	*,      100,   		50
	    MVS_CombatShirt_Black,                                                          *,      100,   		50
	    MVS_CombatShirt_Snow,                                                           *,      100,   		50
	    MVS_CombatShirt_ERDL,                                                           *,      100,   		50
	    MVS_CombatShirt_Multicam,                                                       *,      100,   		50
	    MVS_CombatShirt_Multicam_Tropic,                                                *,      100,   		50
	    MVS_CombatShirt_Multicam_Black,  												*,      100,   		50

	<Category> Hoodies & Sweater
		Sweater_Red,																	*,		20,			5
		Sweater_Blue,																	*,		20,			5
		Sweater_Gray,																	*,		20,			5
		Sweater_Green,																	*,		25,			6
		Hoodie_DrJ0nes,																	*,		30,			6
		Hoodie_GraffitiTiles,															*,		30,			6
		Hoodie_Red,																		*,		30,			6
		Hoodie_Blue,																	*,		30,			6
		Hoodie_Grey,																	*,		30,			6
		Hoodie_Brown,																	*,		30,			6
		Hoodie_Black,																	*,		30,			6
		Hoodie_Green,																	*,		35,			7

	<Category> Vests															
		ReflexVest,																		*,		5,			1
		PoliceVest,																		*,		35,			10
		HuntingVest,																	*,		55,			18
		PressVest_LightBlue,															*,		85,			28
		PressVest_Blue,																	*,		90,			30
		UKAssVest_Black,																*,		90,			30
		UKAssVest_Khaki,																*,		90,			30
		UKAssVest_Olive,																*,		90,			30
		UKAssVest_Camo,																	*,		100,		35
		SmershVest,																		*,		150,		50
		HighCapacityVest_Black,															*,		200,		60
		HighCapacityVest_Olive,															*,		230,		75
		PlateCarrierVest,																*,		250,		80
        Mass_PressVestBlack,															*,		1000,		500
		Masswoodlandcamovest,															*,		1000,		500	
		MassSmershvestcomplete,															*,		1000,		500	
		MassSmershvestWintercomplete,													*,		1000,		500	
		MassUKAssVestWinter,															*,		1000,		500
		MassPlateCarrierHolster_Black,													*,		1000,		500	
		MassPlateCarrierHolster_PartizanM,												*,		1000,		500	
		MassPlateCarrierHolster_Winter,													*,		1000,		500	
		MassPlateCarrierHolster_ODG,													*,		1000,		500	
		MassPlateCarrierPouches_Black,													*,		1000,		500	
		MassPlateCarrierPouches_PartizanM,												*,		1000,		500	
		MassPlateCarrierPouches_Winter,													*,		1000,		500	
		MassPlateCarrierPouches_ODG,													*,		1000,		500	
		MassPlateCarrier_PartizanM,														*,		1000,		500	
		MassPlateCarrier_Black,															*,		1000,		500	
		MassPlateCarrier_Winter,														*,		1000,		500	
		MassPlateCarrier_ODG,															*,		1000,		500	
		MassHeavyPlateVest_ODG,															*,		1000,		500	
		MassHeavyPlateVest_Winter,														*,		1000,		500	
		MassHeavyPlateVest_Black,														*,		1000,		500	
		MassHeavyPlateVest_PartizanM,													*,		1000,		500	
		MassHeavyPlateVest_Beige,														*,		1000,		500	
		MassSmershvestWW2complete,														*,		1000,		500	
		MassSmershvestblackcomplete,													*,		1000,		500			
	    MVS_Combat_Vest_OD,                                                             *,      100,    	50
	    MVS_Combat_Vest_Tan,                                                            *,      100,    	50
	    MVS_Combat_Vest_Black,                                                          *,      100,    	50
